rpm_mean,rpm_std,rpm_max,speed_mean,speed_std,speed_max,throttle_mean,throttle_std,maf_mean,maf_std,accel_mean,accel_std,accel_max,accel_min,pedal_rate_mean,pedal_rate_std,speed_entropy,rpm_entropy,accel_events,brake_events,total_events,engine_load_mean,engine_load_std,moving_efficiency,moving_ratio,eco_score,traffic_state,traffic_state_num,driving_style,predicted_style,predicted_style_label,prob_aggressive,prob_calm,prob_normal,confidence
648.4705882352941,434.38279925613165,1081.0,0.6705882352941176,1.0646357856439876,3.0,85.04352941176471,2.7811898632317185,7.072647058823529,4.229657412528604,0.03611564779500564,0.46957318086921845,3.0864197530814295,-3.0525030524913364,-0.0002937504590446583,0.4862155603139496,1.0052765582881702,0.817206339770445,3,0,3,54.03797411764705,36.26017707137694,0.0,0.0,0.0,traffic_free,0,normal,2,normal,0.047584753,0.0032062682,0.949209,0.949209
1011.0240963855422,182.49343539234428,1578.0,4.578313253012048,4.7357325936171195,14.0,83.10000000000002,2.850770572203013e-14,11.496506024096384,2.379672721951456,0.258275053105734,1.363221503533324,9.157509157474008,-3.0525030524913364,-0.009762885763192857,20.954511314845877,1.297545565301645,0.6710324145610778,10,1,11,84.01610240963856,15.165204481103816,6974.298502397014,0.30120481927710846,100.0,traffic_free,0,aggressive,0,aggressive,0.99838567,0.0013894092,0.00022488239,0.99838567
1014.3855421686746,180.08118245544915,1578.0,11.180722891566266,4.9973194713269145,16.0,83.10000000000002,2.850770572203013e-14,11.509939759036145,2.330216662312483,0.15639748705607498,1.5454222234860155,9.157509157474008,-6.172839506162862,-0.00946205697983404,20.948732982171684,1.3508251879314677,0.6710324145610778,8,3,11,84.29543855421686,14.96474626204782,7276.425603285069,0.8012048192771084,100.0,traffic_free,0,aggressive,0,aggressive,0.999331,0.00048776847,0.00018131787,0.999331
923.7391304347826,37.23705166606351,965.0,11.521739130434783,5.772511731104241,16.0,83.10000000000002,2.854609387338837e-14,10.141130434782609,0.5613216940766116,-0.30166755587551347,2.1984933874245947,6.242197253437293,-20.83333333351018,0.0,0.0,1.0469223371317413,1.213199787476522,1,3,4,76.76272173913044,3.0943989934498797,7545.9821015196985,0.8260869565217391,100.0,traffic_free,0,aggressive,0,aggressive,0.99258316,0.007286006,0.00013091305,0.99258316
857.8141592920354,26.777372067984125,942.0,1.0176991150442478,2.97003577685569,10.0,83.10000000000001,1.4274155049497123e-14,9.231238938053096,0.3233726641181382,-0.211679230854793,1.9786594707694496,0.0,-20.83333333351018,0.0,0.0,0.3384852283813167,0.3192106904713809,0,1,1,71.28435663716813,2.2251996188494823,7701.487414187645,0.10619469026548672,100.0,traffic_free,0,calm,1,calm,0.0034946667,0.99647313,3.2205142e-05,0.99647313
978.6196319018405,206.6129622153925,1409.0,3.521472392638037,5.040989300456761,12.0,83.10000000000002,2.850929579960183e-14,11.568650306748467,3.7790080538134534,0.13254563356791413,2.2725695288303727,18.518518518488573,-15.605493133593225,0.23648471502116483,13.139759699331174,0.8653446777307499,0.8844273621119104,7,3,10,81.32329141104293,17.169537160099118,6374.375310635148,0.3496932515337423,100.0,traffic_free,0,aggressive,0,aggressive,0.99947673,0.0004050655,0.00011816943,0.99947673
1036.2727272727273,188.31636470333,1409.0,6.587878787878788,4.223898151586297,12.0,83.10000000000002,2.8508229293950835e-14,12.519878787878788,3.34172859239317,0.16753272200964658,2.699196318273698,18.518518518488573,-15.605493133593225,0.0017771395726462267,16.52651542205766,1.4876754671103865,1.3533017221097885,13,7,20,86.11426363636363,15.649089906846724,6712.012334186643,0.5454545454545454,100.0,traffic_free,0,aggressive,0,aggressive,0.99988747,4.189168e-05,7.06762e-05,0.99988747
928.0697674418604,83.99328721404838,1164.0,4.965116279069767,2.8996780398758277,11.0,83.10000000000002,2.8504692700225806e-14,10.290697674418603,1.2543144635863097,-0.04666257981822749,2.09804519912351,12.21001220996535,-13.661202185453417,-0.06648955575022705,10.02195685963717,1.3814161198659578,1.2682735780713412,9,6,15,77.12259767441859,6.97984216748742,7634.970220595864,0.3023255813953488,100.0,traffic_free,0,aggressive,0,aggressive,0.9998185,7.972174e-05,0.00010177253,0.9998185
896.1914893617021,46.02179862082298,970.0,4.1063829787234045,2.4295142445874642,9.0,83.10000000000004,4.2861158621506165e-14,9.713085106382977,0.9491773762599653,-0.0168035115093854,2.4295662773645357,12.484394506874583,-13.661202185453417,0.2852933715949381,1.9527071467910284,0.8994428280373157,1.250063570471825,4,2,6,74.47351276595744,3.8244114653903907,7575.0736191912665,0.2553191489361702,100.0,traffic_free,0,aggressive,0,aggressive,0.996268,0.0036313445,0.00010068192,0.996268
970.0,0.0,970.0,9.0,0.0,9.0,83.1,0.0,12.418,1.2488074311117785,2.4968789013749166,5.583190955059306,12.484394506874583,0.0,0.0,0.0,0.0,0.0,1,0,1,80.607,0.0,6490.619212496981,1.0,100.0,traffic_free,0,calm,1,calm,6.260521e-14,1.0,1.2039679e-16,1.0
1212.7,390.7841262555752,1779.0,16.8,16.443843832875572,48.0,83.46000000000001,0.12649110640673697,23.63,0.0,12.037037037017573,38.06445331678005,120.37037037017573,0.0,24.77777777773771,78.35421313515647,0.5004074920213772,0.6108692881138208,2,0,2,101.22165000000001,32.657468600485046,4283.015615081885,1.0,100.0,traffic_free,0,calm,1,calm,0.0,1.0,0.0,1.0
